"","Exp3_A_Sample_1","Exp3_A_Sample_2","Exp3_B_Sample_1","Exp3_B_Sample_2","Exp3_C_Sample_1","Exp3_C_Sample_2"
"ENSG00000000134",0,0,0,3,1,0
"ENSG00000000135",224,365,316,448,398,562
"ENSG00000000136",2,3,4,5,0,3
"ENSG00000000137",28,22,13,7,28,17
"ENSG00000000138",154,288,146,134,202,376
"ENSG00000000139",1,0,0,0,0,1
"ENSG00000000140",8,6,29,7,10,7
"ENSG00000000141",8,15,8,4,7,9
"ENSG00000000142",13,6,4,4,4,7
"ENSG00000000143",34,12,2,15,11,2
"ENSG00000000144",33,6,11,11,21,12
"ENSG00000000145",0,3,0,0,1,0
"ENSG00000000146",150,286,246,156,163,251
"ENSG00000000147",7,11,1,17,5,5
"ENSG00000000148",12,10,8,3,14,19
"ENSG00000000149",110,113,58,65,102,62
"ENSG00000000150",2,2,1,2,5,1
"ENSG00000000151",0,1,0,0,0,0
"ENSG00000000152",1,0,0,0,3,0
"ENSG00000000153",0,1,1,3,1,2
"ENSG00000000154",0,0,0,0,0,0
"ENSG00000000155",13,8,4,3,9,13
"ENSG00000000156",0,1,1,0,0,0
"ENSG00000000157",0,1,0,0,0,1
"ENSG00000000158",4,4,2,6,3,5
"ENSG00000000159",1,0,1,0,0,1
"ENSG00000000160",0,0,0,0,0,0
"ENSG00000000161",9,15,24,11,6,8
"ENSG00000000162",2,2,4,0,1,2
"ENSG00000000163",0,0,0,0,0,1
"ENSG00000000164",10,6,4,11,10,4
"ENSG00000000165",61,125,26,39,40,28
"ENSG00000000166",541,243,374,182,66,170
"ENSG00000000167",2,1,1,0,1,1
"ENSG00000000168",53,27,18,49,35,40
"ENSG00000000169",0,2,0,0,0,1
"ENSG00000000170",70,147,73,140,73,49
"ENSG00000000171",3,7,1,13,15,6
"ENSG00000000172",97,54,67,126,152,118
"ENSG00000000173",1,0,0,1,0,0
"ENSG00000000174",0,0,0,0,0,0
"ENSG00000000175",116,87,98,197,51,77
"ENSG00000000176",27,17,8,11,11,20
"ENSG00000000177",1,1,0,1,0,0
"ENSG00000000178",71,73,37,42,26,98
"ENSG00000000179",0,0,0,0,0,0
"ENSG00000000180",0,3,0,0,0,0
"ENSG00000000181",1,0,1,0,1,0
"ENSG00000000182",7,6,3,1,2,5
"ENSG00000000183",10,47,17,36,44,28
"ENSG00000000184",11,41,19,5,41,41
"ENSG00000000185",1,2,3,1,2,0
"ENSG00000000186",1,2,1,1,4,1
"ENSG00000000187",38,99,65,64,100,79
"ENSG00000000188",91,111,73,87,55,62
"ENSG00000000189",0,0,0,1,2,0
"ENSG00000000190",0,0,0,0,1,1
"ENSG00000000191",17,43,24,33,20,32
"ENSG00000000192",9,9,15,14,1,10
"ENSG00000000193",0,2,0,0,1,1
"ENSG00000000194",1,6,2,2,3,2
"ENSG00000000195",0,1,0,0,0,0
"ENSG00000000196",0,0,0,1,1,0
"ENSG00000000197",79,76,49,24,76,23
"ENSG00000000198",85,120,40,47,24,25
"ENSG00000000199",822,337,400,412,455,577
"ENSG00000000200",1,1,1,0,0,0
"ENSG00000000201",0,0,0,1,1,0
"ENSG00000000202",39,71,12,23,23,24
"ENSG00000000203",0,1,0,2,0,1
"ENSG00000000204",1595,2330,1233,705,1216,1127
"ENSG00000000205",3,0,2,0,1,0
"ENSG00000000206",0,1,0,0,1,0
"ENSG00000000207",4,6,10,3,0,0
"ENSG00000000208",0,2,4,2,3,0
"ENSG00000000209",6,9,1,6,3,5
"ENSG00000000210",18,9,9,9,16,12
"ENSG00000000211",0,0,2,1,2,2
"ENSG00000000212",0,0,1,0,0,0
"ENSG00000000213",22,23,11,27,22,26
"ENSG00000000214",27,13,19,14,23,15
"ENSG00000000215",31,47,56,106,50,22
"ENSG00000000216",0,0,0,0,0,0
"ENSG00000000217",0,1,0,1,0,0
"ENSG00000000218",104,693,143,266,501,174
"ENSG00000000219",0,0,0,2,1,2
"ENSG00000000220",1,0,0,2,1,2
"ENSG00000000221",1,0,0,0,1,0
"ENSG00000000222",1,1,1,0,1,1
"ENSG00000000223",0,2,0,0,1,1
"ENSG00000000224",4,1,3,3,3,2
"ENSG00000000225",0,0,0,0,0,0
"ENSG00000000226",0,0,0,0,0,0
"ENSG00000000227",63,110,53,78,70,33
"ENSG00000000228",9,21,13,23,6,8
"ENSG00000000229",7,3,5,3,2,3
"ENSG00000000230",321,285,160,313,469,141
"ENSG00000000231",3,6,20,8,6,6
"ENSG00000000232",134,56,89,310,117,62
"ENSG00000000233",0,1,2,2,2,2
"ENSG00000000234",5,5,8,9,15,7
"ENSG00000000235",0,0,0,0,0,0
"ENSG00000000236",8,8,15,12,7,8
"ENSG00000000237",225,346,202,129,187,194
"ENSG00000000238",39,15,8,5,37,28
"ENSG00000000239",27,20,17,35,21,13
"ENSG00000000240",3,0,7,1,3,4
"ENSG00000000241",0,0,0,0,0,0
"ENSG00000000242",281,129,46,140,193,77
"ENSG00000000243",192,225,211,172,203,211
"ENSG00000000244",0,0,0,1,2,0
"ENSG00000000245",2,0,2,1,2,0
"ENSG00000000246",1,0,0,0,0,1
"ENSG00000000247",85,96,194,127,68,137
"ENSG00000000248",0,0,1,4,0,2
"ENSG00000000249",0,0,1,0,1,0
"ENSG00000000250",1,4,5,4,2,7
"ENSG00000000251",2,3,5,4,0,1
"ENSG00000000252",39,30,11,10,31,27
"ENSG00000000253",0,3,2,0,0,3
"ENSG00000000254",16,35,39,36,23,21
"ENSG00000000255",333,228,212,429,336,365
"ENSG00000000256",5,4,1,0,1,1
"ENSG00000000257",4,2,6,1,5,9
"ENSG00000000258",24,15,12,12,10,26
"ENSG00000000259",1,1,0,1,3,0
"ENSG00000000260",21,4,6,15,14,2
"ENSG00000000261",181,142,91,70,73,61
"ENSG00000000262",0,0,0,0,1,2
"ENSG00000000263",0,0,1,1,1,2
"ENSG00000000264",0,0,2,0,0,0
"ENSG00000000265",31,19,8,22,20,14
"ENSG00000000266",105,211,130,90,322,89
"ENSG00000000267",1,0,1,0,1,1
"ENSG00000000268",10,32,10,14,4,9
"ENSG00000000269",0,3,1,0,0,1
"ENSG00000000270",48,38,5,24,14,22
"ENSG00000000271",38,125,39,28,39,38
"ENSG00000000272",11,12,8,27,20,22
"ENSG00000000273",3,29,32,14,34,26
"ENSG00000000274",0,1,0,1,0,0
"ENSG00000000275",22,8,7,7,7,13
"ENSG00000000276",0,0,1,1,1,1
"ENSG00000000277",37,65,58,41,60,45
"ENSG00000000278",1,1,1,4,3,3
"ENSG00000000279",378,64,242,192,298,163
"ENSG00000000280",0,1,2,2,1,0
"ENSG00000000281",100,114,82,61,109,49
"ENSG00000000282",2,1,1,1,0,0
"ENSG00000000283",0,2,1,0,0,0
"ENSG00000000284",0,0,0,0,1,1
"ENSG00000000285",46,37,17,16,11,11
"ENSG00000000286",0,2,3,0,0,0
"ENSG00000000287",551,3534,2509,2546,1715,1388
"ENSG00000000288",6,5,0,0,4,4
"ENSG00000000289",1,0,0,1,0,0
"ENSG00000000290",1,0,0,2,1,0
"ENSG00000000291",6,0,3,5,1,2
"ENSG00000000292",88,38,46,45,35,24
"ENSG00000000293",0,1,1,2,0,0
"ENSG00000000294",0,0,1,0,1,0
"ENSG00000000295",13,16,9,12,4,24
"ENSG00000000296",10,8,8,10,11,4
"ENSG00000000297",18,11,10,9,7,10
"ENSG00000000298",270,103,67,90,138,79
"ENSG00000000299",15,35,14,7,37,26
"ENSG00000000300",0,0,0,0,0,0
"ENSG00000000301",21,21,16,16,17,16
"ENSG00000000302",40,176,43,114,41,51
"ENSG00000000303",32,17,17,5,11,30
"ENSG00000000304",115,19,149,43,75,40
"ENSG00000000305",14,11,21,18,11,8
"ENSG00000000306",9,19,16,18,15,43
"ENSG00000000307",118,86,89,98,46,45
"ENSG00000000308",318,194,37,67,127,163
"ENSG00000000309",0,1,1,0,1,0
"ENSG00000000310",3,2,0,2,2,1
"ENSG00000000311",40,9,18,7,19,18
"ENSG00000000312",1,0,0,0,0,1
"ENSG00000000313",1,1,3,0,1,0
"ENSG00000000314",10,11,5,8,5,4
"ENSG00000000315",0,0,1,0,1,0
"ENSG00000000316",15,5,6,6,7,10
"ENSG00000000317",2,3,3,9,4,3
"ENSG00000000318",32,17,8,30,51,9
"ENSG00000000319",4,0,0,2,5,0
"ENSG00000000320",328,134,58,101,99,118
"ENSG00000000321",10,4,2,10,3,6
"ENSG00000000322",26,16,24,23,40,54
"ENSG00000000323",20,23,14,17,29,43
"ENSG00000000324",23,12,6,10,17,16
"ENSG00000000325",1030,1674,85,623,225,598
"ENSG00000000326",4,0,3,6,2,4
"ENSG00000000327",3,0,1,1,1,2
"ENSG00000000328",2,23,20,9,29,24
"ENSG00000000329",6,2,0,3,9,5
"ENSG00000000330",35,19,18,27,11,8
"ENSG00000000331",77,116,29,53,114,120
"ENSG00000000332",6,13,1,3,6,4
"ENSG00000000333",6,13,2,8,6,3
"ENSG00000000334",39,27,33,25,48,29
"ENSG00000000335",1,1,0,2,0,1
"ENSG00000000336",17,17,19,11,32,11
"ENSG00000000337",1,1,0,0,1,0
"ENSG00000000338",1,1,1,0,0,2
"ENSG00000000339",0,0,0,0,0,0
"ENSG00000000340",0,0,0,0,0,0
"ENSG00000000341",0,0,0,1,0,1
"ENSG00000000342",103,37,73,88,68,44
"ENSG00000000343",9,9,12,3,0,12
"ENSG00000000344",0,0,0,0,0,0
"ENSG00000000345",1,0,1,0,1,1
"ENSG00000000346",40,30,37,35,11,60
"ENSG00000000347",410,114,72,127,119,303
"ENSG00000000348",0,2,0,0,0,2
"ENSG00000000349",18,25,31,38,14,17
"ENSG00000000350",694,288,264,193,284,224
"ENSG00000000351",207,80,79,95,58,72
"ENSG00000000352",8,5,2,7,6,5
"ENSG00000000353",135,38,106,60,79,83
"ENSG00000000354",1,0,0,1,1,0
"ENSG00000000355",7,14,7,9,6,4
"ENSG00000000356",189,88,85,396,211,151
"ENSG00000000357",14,15,7,6,9,4
"ENSG00000000358",0,0,0,0,0,0
"ENSG00000000359",1,0,0,1,1,0
"ENSG00000000360",1,0,0,1,0,2
"ENSG00000000361",2,5,2,4,3,2
"ENSG00000000362",7,2,0,2,5,3
"ENSG00000000363",13,2,3,8,8,7
"ENSG00000000364",0,0,0,0,0,0
"ENSG00000000365",31,9,23,9,5,14
"ENSG00000000366",2,1,1,1,0,1
"ENSG00000000367",0,2,2,1,0,0
"ENSG00000000368",1,1,0,1,1,2
"ENSG00000000369",2,10,7,17,6,14
"ENSG00000000370",38,105,23,22,33,30
"ENSG00000000371",578,745,482,336,851,268
"ENSG00000000372",0,0,0,0,0,0
"ENSG00000000373",202,231,106,152,124,251
"ENSG00000000374",0,0,2,0,0,0
"ENSG00000000375",706,229,257,226,156,391
"ENSG00000000376",1,0,0,1,1,0
"ENSG00000000377",9,15,9,16,14,16
"ENSG00000000378",1,1,3,5,5,1
"ENSG00000000379",49,16,18,17,48,43
"ENSG00000000380",1519,561,548,509,535,558
"ENSG00000000381",904,2485,1905,2251,1902,1698
"ENSG00000000382",4,1,4,4,5,0
"ENSG00000000383",28,66,37,32,28,43
"ENSG00000000384",0,1,0,2,2,0
"ENSG00000000385",0,0,0,0,0,0
"ENSG00000000386",14,9,10,10,19,18
"ENSG00000000387",10,10,5,11,8,9
"ENSG00000000388",105,140,39,34,71,70
"ENSG00000000389",0,0,1,1,3,1
"ENSG00000000390",87,153,51,72,62,60
"ENSG00000000391",0,0,0,0,0,0
"ENSG00000000392",10,7,8,9,15,8
"ENSG00000000393",39,15,23,37,64,52
"ENSG00000000394",20,10,3,6,7,3
"ENSG00000000395",11,16,11,9,9,8
"ENSG00000000396",190,254,361,111,136,163
"ENSG00000000397",63,54,13,50,45,16
"ENSG00000000398",44,23,33,8,78,35
"ENSG00000000399",28,3,16,7,7,21
"ENSG00000000400",0,0,0,0,0,1
"ENSG00000000401",1,0,0,2,1,1
"ENSG00000000402",7,6,3,3,5,4
"ENSG00000000403",18,22,15,21,10,10
"ENSG00000000404",1,0,0,0,0,0
"ENSG00000000405",0,0,1,0,1,1
"ENSG00000000406",1,2,2,0,2,1
"ENSG00000000407",0,1,0,0,0,0
"ENSG00000000408",108,66,40,105,43,57
"ENSG00000000409",421,143,705,523,320,187
"ENSG00000000410",1,0,2,0,1,2
"ENSG00000000411",5,4,2,3,7,3
"ENSG00000000412",17,8,1,15,9,11
"ENSG00000000413",0,0,0,0,0,0
"ENSG00000000414",8,4,2,4,6,4
"ENSG00000000415",6,4,2,3,5,3
"ENSG00000000416",7,2,4,2,4,11
"ENSG00000000417",1,0,0,0,0,0
"ENSG00000000418",60,9,18,18,44,9
"ENSG00000000419",3,6,5,7,4,5
"ENSG00000000420",0,0,0,0,0,0
"ENSG00000000421",0,0,0,0,0,0
"ENSG00000000422",5,1,0,1,2,0
"ENSG00000000423",1,0,0,0,0,0
"ENSG00000000424",5,2,6,3,3,8
"ENSG00000000425",108,221,52,173,213,295
"ENSG00000000426",23,24,14,13,15,17
"ENSG00000000427",0,1,0,1,2,1
"ENSG00000000428",0,0,0,0,0,0
"ENSG00000000429",61,18,18,23,27,37
"ENSG00000000430",21,21,21,16,23,15
"ENSG00000000431",432,1355,1399,891,587,718
"ENSG00000000432",6,5,3,2,2,5
"ENSG00000000433",1,0,0,0,2,0
"ENSG00000000434",0,0,0,0,0,0
"ENSG00000000435",11,12,26,2,13,21
"ENSG00000000436",152,126,126,109,64,46
"ENSG00000000437",2,0,0,0,0,0
"ENSG00000000438",5,11,7,2,14,18
"ENSG00000000439",0,1,0,0,0,0
"ENSG00000000440",564,341,197,113,210,265
"ENSG00000000441",134,238,189,173,252,448
"ENSG00000000442",102,38,26,25,34,34
"ENSG00000000443",287,71,526,676,123,468
"ENSG00000000444",12,6,1,7,3,3
"ENSG00000000445",0,1,1,0,0,0
"ENSG00000000446",5,6,9,5,4,3
"ENSG00000000447",0,0,0,0,0,0
"ENSG00000000448",0,1,0,1,0,0
"ENSG00000000449",22,19,10,2,17,4
"ENSG00000000450",0,0,2,1,1,0
"ENSG00000000451",0,0,0,0,0,0
"ENSG00000000452",0,0,0,0,0,0
"ENSG00000000453",32,15,16,28,31,32
"ENSG00000000454",13,10,10,10,17,7
"ENSG00000000455",0,0,0,0,0,0
"ENSG00000000456",0,0,0,0,0,0
"ENSG00000000457",518,418,714,334,352,503
"ENSG00000000458",102,56,43,52,46,146
"ENSG00000000459",1,1,1,0,0,0
"ENSG00000000460",2,13,3,2,6,1
"ENSG00000000461",121,121,73,132,107,67
"ENSG00000000462",844,1505,1471,1565,785,1546
"ENSG00000000463",0,0,0,0,0,0
"ENSG00000000464",2,1,1,0,0,0
"ENSG00000000465",0,0,0,0,0,0
"ENSG00000000466",22,24,43,22,14,11
"ENSG00000000467",269,409,320,178,278,181
"ENSG00000000468",67,152,27,57,77,115
"ENSG00000000469",0,0,0,0,0,0
"ENSG00000000470",3,6,4,11,10,0
"ENSG00000000471",38,17,17,22,2,25
"ENSG00000000472",1,2,1,0,2,0
"ENSG00000000473",104,47,27,58,89,52
"ENSG00000000474",0,0,0,1,1,0
"ENSG00000000475",19,41,8,19,33,49
"ENSG00000000476",3,9,11,6,17,11
"ENSG00000000477",0,0,0,0,0,0
"ENSG00000000478",9,21,3,2,5,2
"ENSG00000000479",38,53,22,35,35,34
"ENSG00000000480",1,2,1,1,1,0
"ENSG00000000481",3,9,1,8,11,10
"ENSG00000000482",2,0,0,0,1,0
"ENSG00000000483",2,0,0,0,1,0
"ENSG00000000484",2,2,2,0,1,3
"ENSG00000000485",0,0,1,0,0,0
"ENSG00000000486",8,18,8,1,16,12
"ENSG00000000487",29,43,45,13,34,34
"ENSG00000000488",1,0,0,1,2,1
"ENSG00000000489",0,0,1,0,0,2
"ENSG00000000490",64,68,42,21,93,25
"ENSG00000000491",12,11,9,17,17,9
"ENSG00000000492",20,24,8,16,13,17
"ENSG00000000493",1,1,0,0,1,0
"ENSG00000000494",0,1,0,1,1,1
"ENSG00000000495",0,0,0,0,0,0
"ENSG00000000496",195,58,48,65,65,99
"ENSG00000000497",98,75,117,80,104,118
"ENSG00000000498",1,4,2,3,5,0
"ENSG00000000499",0,0,1,0,1,1
"ENSG00000000500",34,29,21,10,26,28
"ENSG00000000501",148,187,264,220,122,270
"ENSG00000000502",107,38,66,67,38,81
"ENSG00000000503",23,6,14,40,28,19
"ENSG00000000504",2,2,0,0,0,0
"ENSG00000000505",2,5,4,5,4,2
"ENSG00000000506",13,14,15,1,16,3
"ENSG00000000507",1,1,4,0,4,1
"ENSG00000000508",4,2,5,2,4,0
"ENSG00000000509",5,1,1,3,3,2
"ENSG00000000510",110,144,87,81,92,33
"ENSG00000000511",0,0,0,0,0,0
"ENSG00000000512",17,11,6,8,3,16
"ENSG00000000513",0,1,0,0,2,2
"ENSG00000000514",22,16,19,24,11,24
"ENSG00000000515",1,1,0,0,1,1
"ENSG00000000516",348,1028,1319,1690,852,379
"ENSG00000000517",2,1,1,0,0,0
"ENSG00000000518",0,0,1,1,0,0
"ENSG00000000519",326,738,442,271,345,903
"ENSG00000000520",30,15,10,15,8,23
"ENSG00000000521",786,948,326,435,472,650
"ENSG00000000522",0,0,0,0,0,1
"ENSG00000000523",91,96,79,43,30,39
"ENSG00000000524",16,24,40,41,31,27
"ENSG00000000525",8121,27535,7732,3196,9811,8232
"ENSG00000000526",0,0,1,1,2,3
"ENSG00000000527",4,1,0,3,0,1
"ENSG00000000528",3,8,1,4,3,8
"ENSG00000000529",0,0,1,1,0,0
"ENSG00000000530",1,0,0,0,0,0
"ENSG00000000531",1,0,1,0,0,0
"ENSG00000000532",1,5,1,0,4,5
"ENSG00000000533",17,19,10,9,3,8
"ENSG00000000534",0,1,1,0,1,1
"ENSG00000000535",1,0,0,2,0,1
"ENSG00000000536",36,14,14,42,48,29
"ENSG00000000537",0,0,0,0,0,0
"ENSG00000000538",7,7,0,7,12,2
"ENSG00000000539",207,548,441,340,424,44
"ENSG00000000540",1,0,3,3,3,1
"ENSG00000000541",18,6,8,9,9,19
"ENSG00000000542",0,2,2,0,1,0
"ENSG00000000543",0,0,0,0,0,0
"ENSG00000000544",0,0,0,0,0,0
"ENSG00000000545",0,1,0,0,1,0
"ENSG00000000546",0,0,0,0,0,0
"ENSG00000000547",35,74,50,49,84,117
"ENSG00000000548",7,7,5,3,1,7
"ENSG00000000549",13,11,20,19,20,27
"ENSG00000000550",156,638,168,210,372,255
"ENSG00000000551",0,1,0,0,1,0
"ENSG00000000552",39,26,34,26,19,26
"ENSG00000000553",7,24,14,6,18,24
"ENSG00000000554",132,181,35,63,68,316
"ENSG00000000555",77,135,35,59,121,72
"ENSG00000000556",53,34,28,19,34,27
"ENSG00000000557",0,0,1,0,0,0
"ENSG00000000558",2,0,2,0,1,0
"ENSG00000000559",130,106,142,175,142,73
"ENSG00000000560",2,0,0,0,1,3
"ENSG00000000561",92,26,127,19,15,14
"ENSG00000000562",37,19,30,20,14,17
"ENSG00000000563",1,0,1,0,0,2
"ENSG00000000564",30,15,20,20,34,16
"ENSG00000000565",1,0,0,0,0,0
"ENSG00000000566",1,0,0,0,0,0
"ENSG00000000567",28,32,77,73,47,89
"ENSG00000000568",26,7,28,36,4,10
"ENSG00000000569",10,8,2,3,12,10
"ENSG00000000570",22,1,3,9,16,2
"ENSG00000000571",1,1,0,0,2,0
"ENSG00000000572",1,2,0,1,2,1
"ENSG00000000573",1,1,1,3,0,0
"ENSG00000000574",0,1,0,0,0,1
"ENSG00000000575",0,0,0,0,0,2
"ENSG00000000576",0,0,0,0,0,2
"ENSG00000000577",0,1,0,1,0,0
"ENSG00000000578",2,0,1,1,2,1
"ENSG00000000579",16,40,2,10,12,17
"ENSG00000000580",237,128,160,108,166,53
"ENSG00000000581",4,0,0,0,1,1
"ENSG00000000582",7,11,14,1,5,4
"ENSG00000000583",1,2,0,0,0,0
"ENSG00000000584",1,3,3,1,0,0
"ENSG00000000585",80,33,17,70,45,20
"ENSG00000000586",3,1,1,1,0,0
"ENSG00000000587",182,90,168,89,171,76
"ENSG00000000588",1,0,2,3,0,0
"ENSG00000000589",2,16,18,12,13,16
"ENSG00000000590",0,1,1,1,0,1
"ENSG00000000591",0,0,0,0,0,0
"ENSG00000000592",12,34,22,11,22,47
"ENSG00000000593",82,73,78,45,108,23
"ENSG00000000594",0,0,0,0,1,0
"ENSG00000000595",17,6,8,15,25,5
"ENSG00000000596",23,12,39,32,14,34
"ENSG00000000597",0,0,0,0,0,0
"ENSG00000000598",399,471,713,327,780,232
"ENSG00000000599",0,0,0,1,0,0
"ENSG00000000600",228,117,81,131,136,159
"ENSG00000000601",13,20,9,12,2,8
"ENSG00000000602",0,0,0,0,0,0
"ENSG00000000603",199,85,71,83,113,96
"ENSG00000000604",169,152,97,60,72,45
"ENSG00000000605",3,5,3,2,1,3
"ENSG00000000606",285,883,559,533,267,358
"ENSG00000000607",0,2,1,0,0,0
"ENSG00000000608",0,0,1,0,2,2
"ENSG00000000609",7,6,5,5,8,2
"ENSG00000000610",1,0,0,0,0,0
"ENSG00000000611",0,0,0,0,0,0
"ENSG00000000612",42,24,27,31,16,22
"ENSG00000000613",2678,1350,1639,1795,1063,1155
"ENSG00000000614",0,0,0,0,0,1
"ENSG00000000615",153,159,83,59,171,239
"ENSG00000000616",0,1,0,1,0,0
"ENSG00000000617",3,0,0,1,0,1
"ENSG00000000618",339,86,104,219,73,37
"ENSG00000000619",106,19,13,23,38,12
"ENSG00000000620",1,0,0,0,0,1
"ENSG00000000621",209,106,107,38,74,232
"ENSG00000000622",74,93,65,70,113,60
"ENSG00000000623",8,6,12,5,6,5
"ENSG00000000624",0,0,0,0,0,0
"ENSG00000000625",6,11,4,7,4,5
"ENSG00000000626",107,114,56,73,53,40
