"","data/Exp2_A_Sample_1","data/Exp2_A_Sample_2","data/Exp2_B_Sample_1","data/Exp2_B_Sample_2","data/Exp2_C_Sample_1","data/Exp2_C_Sample_2"
"ENSG00000000078",319,291,404,349,366,312
"ENSG00000000079",30,42,26,29,34,41
"ENSG00000000080",1,3,0,0,1,1
"ENSG00000000081",1,1,12,5,5,4
"ENSG00000000082",0,0,0,0,1,1
"ENSG00000000083",34,22,7,39,34,26
"ENSG00000000084",3,2,4,7,4,4
"ENSG00000000085",0,0,0,0,0,0
"ENSG00000000086",0,0,1,0,0,2
"ENSG00000000087",1,0,0,0,1,0
"ENSG00000000088",2,19,0,3,3,7
"ENSG00000000089",14,4,18,38,5,22
"ENSG00000000090",20,28,37,31,16,16
"ENSG00000000091",0,0,0,0,0,0
"ENSG00000000092",9,30,6,7,15,11
"ENSG00000000093",0,1,0,0,1,1
"ENSG00000000094",1,2,0,1,0,0
"ENSG00000000095",3,3,6,3,2,1
"ENSG00000000096",952,3606,1472,784,2744,1985
"ENSG00000000097",64,113,125,98,127,74
"ENSG00000000098",1,0,0,0,0,0
"ENSG00000000099",30,35,23,6,10,13
"ENSG00000000100",0,0,0,0,1,1
"ENSG00000000101",1,2,1,1,0,2
"ENSG00000000102",4,4,1,2,5,1
"ENSG00000000103",170,95,207,166,231,221
"ENSG00000000104",101,96,49,117,39,63
"ENSG00000000105",4,0,3,0,1,1
"ENSG00000000106",6,14,21,16,13,13
"ENSG00000000107",0,1,0,0,1,0
"ENSG00000000108",57,83,92,63,59,109
"ENSG00000000109",11,16,13,6,19,10
"ENSG00000000110",6,0,0,0,0,0
"ENSG00000000111",1,1,0,2,2,2
"ENSG00000000112",34,100,59,85,28,61
"ENSG00000000113",14,25,30,32,59,27
"ENSG00000000114",30,49,51,45,48,15
"ENSG00000000115",306,751,521,226,580,323
"ENSG00000000116",3,0,0,1,2,0
"ENSG00000000117",10,16,8,8,4,15
"ENSG00000000118",24,30,22,9,16,7
"ENSG00000000119",0,0,0,0,0,0
"ENSG00000000120",1,0,1,0,0,0
"ENSG00000000121",171,237,213,110,142,111
"ENSG00000000122",2,6,1,4,1,7
"ENSG00000000123",0,1,1,0,0,0
"ENSG00000000124",2,7,5,3,1,7
"ENSG00000000125",54,74,58,53,42,86
"ENSG00000000126",101,88,91,98,99,154
"ENSG00000000127",33,23,38,28,42,36
"ENSG00000000128",123,332,175,198,104,169
"ENSG00000000129",0,0,0,0,1,1
"ENSG00000000130",2,6,3,2,4,8
"ENSG00000000131",1,0,2,1,0,0
"ENSG00000000132",596,643,362,429,193,1039
"ENSG00000000133",85,248,162,352,130,249
"ENSG00000000134",0,0,0,0,0,1
"ENSG00000000135",58,138,142,91,69,52
"ENSG00000000136",0,0,0,1,0,1
"ENSG00000000137",5,7,12,6,7,9
"ENSG00000000138",3,1,0,0,1,0
"ENSG00000000139",0,0,0,0,0,0
"ENSG00000000140",0,0,1,0,1,1
"ENSG00000000141",0,1,2,0,1,1
"ENSG00000000142",9,92,46,44,23,26
"ENSG00000000143",4,9,2,11,2,5
"ENSG00000000144",11,18,24,7,14,12
"ENSG00000000145",66,91,36,59,40,104
"ENSG00000000146",24,61,32,36,49,59
"ENSG00000000147",0,0,0,1,0,0
"ENSG00000000148",0,1,0,0,0,0
"ENSG00000000149",512,2676,999,1594,790,1895
"ENSG00000000150",4,2,1,11,6,4
"ENSG00000000151",9,8,4,4,16,7
"ENSG00000000152",0,0,0,0,0,0
"ENSG00000000153",0,1,0,1,1,1
"ENSG00000000154",17,52,40,42,45,65
"ENSG00000000155",46,56,92,79,74,79
"ENSG00000000156",3,4,4,0,2,3
"ENSG00000000157",4,0,0,2,0,0
"ENSG00000000158",22,11,7,1,10,15
"ENSG00000000159",23,119,73,124,35,141
"ENSG00000000160",0,0,1,0,1,0
"ENSG00000000161",20,11,15,18,21,14
"ENSG00000000162",27,42,170,59,17,42
"ENSG00000000163",10,12,14,17,15,21
"ENSG00000000164",262,293,229,479,982,438
"ENSG00000000165",1,4,3,3,1,2
"ENSG00000000166",6,1,3,6,2,1
"ENSG00000000167",0,0,1,0,2,1
"ENSG00000000168",28,57,25,57,12,18
"ENSG00000000169",6,3,6,10,3,1
"ENSG00000000170",4,16,10,11,15,6
"ENSG00000000171",0,2,8,1,9,3
"ENSG00000000172",0,1,1,1,1,1
"ENSG00000000173",1,0,0,0,1,1
"ENSG00000000174",0,1,1,0,0,0
"ENSG00000000175",11,41,68,42,23,23
"ENSG00000000176",0,0,0,2,0,0
"ENSG00000000177",1,0,2,1,0,3
"ENSG00000000178",51,93,49,71,13,72
"ENSG00000000179",111,132,46,73,79,90
"ENSG00000000180",98,151,59,124,43,80
"ENSG00000000181",0,1,0,1,0,0
"ENSG00000000182",95,154,145,106,88,64
"ENSG00000000183",0,1,1,0,0,0
"ENSG00000000184",8,4,2,0,2,2
"ENSG00000000185",1,0,0,0,0,0
"ENSG00000000186",9,15,35,14,18,23
"ENSG00000000187",2,13,5,7,3,4
"ENSG00000000188",6,8,7,9,7,4
"ENSG00000000189",6,4,3,4,4,3
"ENSG00000000190",6,9,13,22,15,6
"ENSG00000000191",5,12,8,10,5,2
"ENSG00000000192",3,0,1,0,1,1
"ENSG00000000193",3,6,0,4,3,2
"ENSG00000000194",19,37,22,19,24,29
"ENSG00000000195",24,53,21,16,18,43
"ENSG00000000196",24,23,22,15,25,33
"ENSG00000000197",1,4,0,4,2,2
"ENSG00000000198",20,23,72,74,71,41
"ENSG00000000199",46,127,63,119,43,46
"ENSG00000000200",0,0,3,2,0,1
"ENSG00000000201",0,0,0,0,2,1
"ENSG00000000202",761,2306,554,1710,1023,932
"ENSG00000000203",57,52,35,114,53,55
"ENSG00000000204",22,45,23,41,26,21
"ENSG00000000205",4,2,4,3,6,3
"ENSG00000000206",14,45,39,42,28,71
"ENSG00000000207",0,1,2,0,1,0
"ENSG00000000208",0,0,0,1,0,0
"ENSG00000000209",3,3,3,5,3,3
"ENSG00000000210",0,0,1,2,1,1
"ENSG00000000211",5,6,8,5,2,1
"ENSG00000000212",0,0,1,1,0,0
"ENSG00000000213",9,9,10,6,8,11
"ENSG00000000214",0,0,0,0,1,0
"ENSG00000000215",11,11,12,7,9,14
"ENSG00000000216",115,623,454,570,433,691
"ENSG00000000217",59,57,76,79,31,73
"ENSG00000000218",655,754,317,586,255,566
"ENSG00000000219",102,248,136,271,133,164
"ENSG00000000220",6,4,4,8,1,4
"ENSG00000000221",18,13,28,31,28,32
"ENSG00000000222",31,111,46,71,62,15
"ENSG00000000223",0,0,2,1,0,0
"ENSG00000000224",2,3,1,2,0,2
"ENSG00000000225",0,1,1,0,0,1
"ENSG00000000226",0,1,0,2,1,0
"ENSG00000000227",2256,3786,3195,4065,874,4892
"ENSG00000000228",235,774,274,485,79,481
"ENSG00000000229",16,20,29,24,16,7
"ENSG00000000230",512,779,428,526,712,475
"ENSG00000000231",9,22,33,30,13,33
"ENSG00000000232",182,166,105,179,145,95
"ENSG00000000233",0,1,0,0,1,0
"ENSG00000000234",0,1,1,0,1,0
"ENSG00000000235",1,0,1,3,1,0
"ENSG00000000236",0,0,0,0,1,0
"ENSG00000000237",11,10,15,8,7,5
"ENSG00000000238",137,213,160,127,229,221
"ENSG00000000239",2,3,0,0,2,2
"ENSG00000000240",0,1,0,0,0,2
"ENSG00000000241",1,0,0,1,0,0
"ENSG00000000242",0,0,0,0,0,1
"ENSG00000000243",1,8,4,4,2,2
"ENSG00000000244",0,0,0,0,1,1
"ENSG00000000245",560,1459,1696,812,1517,965
"ENSG00000000246",14,16,33,22,28,14
"ENSG00000000247",0,0,3,1,1,0
"ENSG00000000248",6,8,7,1,3,3
"ENSG00000000249",2,0,1,0,1,0
"ENSG00000000250",109,240,316,34,208,109
"ENSG00000000251",1,2,0,0,0,0
"ENSG00000000252",1,1,0,1,0,2
"ENSG00000000253",3,6,1,6,1,2
"ENSG00000000254",2,0,0,1,1,2
"ENSG00000000255",28,120,47,29,39,31
"ENSG00000000256",0,0,1,1,1,0
"ENSG00000000257",0,0,0,0,2,1
"ENSG00000000258",2,6,10,6,4,4
"ENSG00000000259",2,0,0,0,0,2
"ENSG00000000260",0,1,0,0,1,0
"ENSG00000000261",2,1,0,0,1,0
"ENSG00000000262",6,16,14,11,8,14
"ENSG00000000263",1,0,0,1,1,0
"ENSG00000000264",17,8,14,12,6,16
"ENSG00000000265",5,4,4,10,26,3
"ENSG00000000266",15,29,34,11,11,11
"ENSG00000000267",204,324,395,378,457,198
"ENSG00000000268",7,3,2,2,0,2
"ENSG00000000269",0,0,0,0,0,0
"ENSG00000000270",891,1188,921,795,602,1704
"ENSG00000000271",1,1,0,0,0,0
"ENSG00000000272",0,0,1,2,0,1
"ENSG00000000273",0,1,1,2,1,2
"ENSG00000000274",1,6,1,10,6,4
"ENSG00000000275",0,0,0,1,1,1
"ENSG00000000276",808,1636,603,846,810,566
"ENSG00000000277",59,46,74,51,75,137
"ENSG00000000278",2,5,0,0,5,4
"ENSG00000000279",14,30,23,18,28,24
"ENSG00000000280",1,1,0,0,0,0
"ENSG00000000281",0,0,0,0,0,0
"ENSG00000000282",0,0,0,0,0,0
"ENSG00000000283",2,2,0,1,1,0
"ENSG00000000284",1121,2513,1369,624,843,1284
"ENSG00000000285",44,63,85,51,8,24
"ENSG00000000286",0,0,0,0,0,0
"ENSG00000000287",1,0,0,0,0,0
"ENSG00000000288",0,0,0,0,0,0
"ENSG00000000289",1,1,2,0,0,1
"ENSG00000000290",28,262,110,98,180,173
"ENSG00000000291",5,6,3,5,5,4
"ENSG00000000292",2,0,0,0,0,0
"ENSG00000000293",3,6,1,1,2,4
"ENSG00000000294",320,319,307,273,170,241
"ENSG00000000295",502,747,1571,1126,782,1012
"ENSG00000000296",2,0,1,0,2,0
"ENSG00000000297",237,656,946,310,514,665
"ENSG00000000298",0,0,0,0,0,0
"ENSG00000000299",36,142,47,66,39,111
"ENSG00000000300",17,19,27,19,48,25
"ENSG00000000301",1,1,1,0,2,3
"ENSG00000000302",0,1,0,0,0,0
"ENSG00000000303",1,0,0,0,1,0
"ENSG00000000304",759,2052,975,932,1623,1045
"ENSG00000000305",0,0,0,1,0,0
"ENSG00000000306",2,2,6,5,4,4
"ENSG00000000307",41,16,38,19,34,76
"ENSG00000000308",91,189,177,181,84,97
"ENSG00000000309",46,67,116,112,56,56
"ENSG00000000310",1,0,0,0,0,0
"ENSG00000000311",75,91,122,73,147,58
"ENSG00000000312",228,137,144,46,206,107
"ENSG00000000313",6,10,3,8,8,4
"ENSG00000000314",22,27,34,16,18,17
"ENSG00000000315",5,6,8,10,6,8
"ENSG00000000316",14,27,28,8,13,28
"ENSG00000000317",0,0,0,0,1,1
"ENSG00000000318",10,22,27,3,7,9
"ENSG00000000319",220,237,113,133,305,638
"ENSG00000000320",364,874,405,393,755,549
"ENSG00000000321",8,35,3,35,21,18
"ENSG00000000322",1,0,0,0,0,0
"ENSG00000000323",46,69,48,19,26,12
"ENSG00000000324",0,0,0,0,2,1
"ENSG00000000325",7,6,8,6,0,2
"ENSG00000000326",1,7,3,9,10,15
"ENSG00000000327",2,4,3,3,2,0
"ENSG00000000328",203,542,80,585,450,496
"ENSG00000000329",13,14,62,7,5,26
"ENSG00000000330",2,0,0,0,0,0
"ENSG00000000331",13,8,6,14,7,16
"ENSG00000000332",7,11,10,16,14,17
"ENSG00000000333",0,0,0,0,0,0
"ENSG00000000334",2,0,1,1,0,0
"ENSG00000000335",1,0,0,1,0,0
"ENSG00000000336",38,124,41,40,49,25
"ENSG00000000337",8,13,27,10,13,2
"ENSG00000000338",67,107,66,32,98,71
"ENSG00000000339",6,43,38,19,6,28
"ENSG00000000340",79,515,165,92,134,120
"ENSG00000000341",37,29,47,57,17,52
"ENSG00000000342",185,215,345,164,82,291
"ENSG00000000343",0,0,0,0,0,2
"ENSG00000000344",0,1,0,1,1,0
"ENSG00000000345",5,18,6,6,6,4
"ENSG00000000346",124,53,60,73,125,75
"ENSG00000000347",0,1,0,0,0,2
"ENSG00000000348",0,0,0,0,0,0
"ENSG00000000349",1,0,1,1,0,1
"ENSG00000000350",9,14,21,6,25,14
"ENSG00000000351",68,146,155,249,132,325
"ENSG00000000352",8,20,14,6,8,13
"ENSG00000000353",1,0,1,2,1,0
"ENSG00000000354",78,47,71,127,37,91
"ENSG00000000355",9,17,10,10,14,0
"ENSG00000000356",127,103,217,210,175,67
"ENSG00000000357",74,50,204,69,146,110
"ENSG00000000358",8,8,4,1,1,1
"ENSG00000000359",349,278,755,346,430,721
"ENSG00000000360",0,1,0,0,0,1
"ENSG00000000361",504,467,1154,438,139,764
"ENSG00000000362",15,27,26,49,13,8
"ENSG00000000363",1,1,0,0,0,0
"ENSG00000000364",3,0,0,1,0,0
"ENSG00000000365",17,22,9,5,16,9
"ENSG00000000366",0,0,0,0,0,0
"ENSG00000000367",0,2,0,0,0,1
"ENSG00000000368",2,3,1,1,0,0
"ENSG00000000369",136,384,330,208,292,127
"ENSG00000000370",68,53,65,93,25,37
"ENSG00000000371",9,39,15,19,28,14
"ENSG00000000372",0,0,1,0,0,1
"ENSG00000000373",2,0,2,0,2,0
"ENSG00000000374",929,3389,3759,1567,4337,1716
"ENSG00000000375",20,31,18,17,39,71
"ENSG00000000376",0,0,0,1,0,2
"ENSG00000000377",0,1,0,1,0,0
"ENSG00000000378",42,63,45,44,36,44
"ENSG00000000379",2,1,1,0,3,2
"ENSG00000000380",0,0,0,0,0,0
"ENSG00000000381",96,160,113,122,64,35
"ENSG00000000382",14,25,14,25,17,17
"ENSG00000000383",103,101,189,92,53,111
"ENSG00000000384",6,16,18,8,2,2
"ENSG00000000385",0,2,1,2,0,0
"ENSG00000000386",0,0,1,0,0,0
"ENSG00000000387",5,14,9,1,2,3
"ENSG00000000388",41,280,71,90,142,59
"ENSG00000000389",106,172,124,77,22,79
"ENSG00000000390",0,1,2,0,0,0
"ENSG00000000391",4,0,4,1,9,4
"ENSG00000000392",0,2,0,1,0,0
"ENSG00000000393",109,223,44,155,92,178
"ENSG00000000394",1,0,0,0,0,0
"ENSG00000000395",9,3,13,9,11,6
"ENSG00000000396",0,0,0,0,0,1
"ENSG00000000397",1,2,2,0,1,1
"ENSG00000000398",1,0,2,0,0,0
"ENSG00000000399",170,540,284,234,179,175
"ENSG00000000400",10,24,0,19,13,5
"ENSG00000000401",14,8,20,12,10,9
"ENSG00000000402",0,3,0,0,0,0
"ENSG00000000403",1,1,0,0,0,1
"ENSG00000000404",0,0,1,1,0,0
"ENSG00000000405",1,0,1,1,0,1
"ENSG00000000406",2,13,6,6,1,4
"ENSG00000000407",15,2,6,2,2,8
"ENSG00000000408",24,104,67,28,36,63
"ENSG00000000409",36,34,21,25,16,20
"ENSG00000000410",0,1,0,0,0,0
"ENSG00000000411",43,74,124,39,153,31
"ENSG00000000412",0,0,0,2,3,2
"ENSG00000000413",0,0,0,0,0,0
"ENSG00000000414",0,0,0,1,0,1
"ENSG00000000415",450,576,449,434,533,136
"ENSG00000000416",19,7,13,11,9,1
"ENSG00000000417",0,0,0,0,0,0
"ENSG00000000418",1,0,0,2,0,2
"ENSG00000000419",7,5,10,9,9,12
"ENSG00000000420",0,0,0,0,1,0
"ENSG00000000421",46,55,25,56,57,54
"ENSG00000000422",0,1,1,0,0,0
"ENSG00000000423",117,352,125,124,49,113
"ENSG00000000424",0,2,1,1,2,1
"ENSG00000000425",70,104,32,110,149,66
"ENSG00000000426",0,0,0,1,0,0
"ENSG00000000427",676,1798,718,1495,723,1262
"ENSG00000000428",92,32,40,27,55,41
"ENSG00000000429",261,374,302,356,356,316
"ENSG00000000430",0,3,0,0,1,1
"ENSG00000000431",125,180,175,275,278,101
"ENSG00000000432",36,18,16,24,31,19
"ENSG00000000433",55,142,257,154,122,156
"ENSG00000000434",9,8,3,4,18,7
"ENSG00000000435",3,0,1,0,1,0
"ENSG00000000436",5,29,13,16,22,9
"ENSG00000000437",1,3,0,1,1,1
"ENSG00000000438",4,3,0,16,3,6
"ENSG00000000439",13,72,40,25,38,25
"ENSG00000000440",0,2,1,0,1,0
"ENSG00000000441",6,24,23,19,17,17
"ENSG00000000442",17,45,47,52,7,43
"ENSG00000000443",3,1,2,1,2,5
"ENSG00000000444",182,1253,1057,1724,670,397
"ENSG00000000445",52,49,50,25,11,21
"ENSG00000000446",0,2,1,0,2,0
"ENSG00000000447",4,2,1,1,5,0
"ENSG00000000448",8,6,5,5,2,3
"ENSG00000000449",259,1107,1058,130,496,689
"ENSG00000000450",0,0,0,0,0,0
"ENSG00000000451",1,0,1,1,4,0
"ENSG00000000452",13,9,10,4,3,10
"ENSG00000000453",57,56,40,30,20,30
"ENSG00000000454",0,1,2,1,2,1
"ENSG00000000455",0,0,1,0,2,0
"ENSG00000000456",10,7,14,6,5,15
"ENSG00000000457",3,1,1,1,1,7
"ENSG00000000458",8,12,8,4,9,25
"ENSG00000000459",2,7,5,3,2,2
"ENSG00000000460",3,0,0,0,0,1
"ENSG00000000461",11,55,11,39,17,69
"ENSG00000000462",26,46,32,17,43,17
"ENSG00000000463",0,1,1,2,0,0
"ENSG00000000464",43,38,53,54,62,81
"ENSG00000000465",279,638,187,369,322,386
"ENSG00000000466",1,0,3,1,0,0
"ENSG00000000467",22,14,5,14,38,24
"ENSG00000000468",22,102,12,56,28,71
"ENSG00000000469",0,0,0,0,0,0
"ENSG00000000470",0,1,0,0,0,1
"ENSG00000000471",7,8,11,4,8,5
"ENSG00000000472",0,0,0,0,1,3
"ENSG00000000473",0,0,0,0,0,0
"ENSG00000000474",32,70,38,24,5,21
"ENSG00000000475",26,31,27,6,33,39
"ENSG00000000476",6,5,0,3,6,4
"ENSG00000000477",0,1,0,1,1,1
"ENSG00000000478",4,4,6,7,7,4
"ENSG00000000479",0,1,2,0,1,0
"ENSG00000000480",174,302,558,188,339,135
"ENSG00000000481",0,1,0,0,0,0
"ENSG00000000482",76,225,242,278,115,336
"ENSG00000000483",10,14,20,16,26,10
"ENSG00000000484",2,0,3,6,6,7
"ENSG00000000485",0,5,2,9,6,6
"ENSG00000000486",16,14,9,7,5,12
"ENSG00000000487",1,0,1,0,0,0
"ENSG00000000488",0,0,0,0,0,0
"ENSG00000000489",4,12,15,23,6,8
"ENSG00000000490",17,66,67,26,57,35
"ENSG00000000491",6,27,10,5,19,9
"ENSG00000000492",0,0,1,1,0,0
"ENSG00000000493",7,7,1,1,1,4
"ENSG00000000494",86,174,109,59,72,150
"ENSG00000000495",0,1,1,0,1,3
"ENSG00000000496",1,0,0,0,3,1
"ENSG00000000497",6,3,17,3,10,8
"ENSG00000000498",3,0,2,2,3,4
"ENSG00000000499",2,0,0,0,0,1
"ENSG00000000500",4,5,6,5,5,3
"ENSG00000000501",0,1,1,0,0,2
"ENSG00000000502",0,0,1,1,0,0
"ENSG00000000503",1,1,1,1,0,0
"ENSG00000000504",0,0,1,1,1,0
"ENSG00000000505",1,0,0,1,2,1
"ENSG00000000506",240,455,270,709,222,441
"ENSG00000000507",0,0,0,0,0,0
"ENSG00000000508",0,0,0,0,0,0
"ENSG00000000509",69,368,194,155,114,187
"ENSG00000000510",154,931,357,292,404,583
"ENSG00000000511",0,0,0,2,2,0
"ENSG00000000512",1,0,0,1,0,1
"ENSG00000000513",0,5,1,4,4,6
"ENSG00000000514",0,1,2,0,3,2
"ENSG00000000515",83,82,213,80,65,94
"ENSG00000000516",23,82,41,51,22,40
"ENSG00000000517",1,1,1,0,1,1
"ENSG00000000518",1,0,0,0,0,0
"ENSG00000000519",1,1,1,1,0,1
"ENSG00000000520",0,0,0,0,1,0
"ENSG00000000521",1,1,0,1,0,1
"ENSG00000000522",266,545,497,769,240,551
"ENSG00000000523",297,705,380,619,252,426
"ENSG00000000524",25,39,50,38,84,25
"ENSG00000000525",13,11,21,17,12,8
"ENSG00000000526",6,13,5,2,7,0
"ENSG00000000527",0,0,1,2,0,0
"ENSG00000000528",0,0,2,0,1,1
"ENSG00000000529",27,61,52,13,61,51
"ENSG00000000530",1,0,0,1,0,1
"ENSG00000000531",1,0,0,2,2,0
"ENSG00000000532",49,108,72,100,47,22
"ENSG00000000533",41,39,24,25,17,3
"ENSG00000000534",1,2,4,4,8,3
"ENSG00000000535",13,96,48,19,41,62
"ENSG00000000536",1,0,1,1,0,0
"ENSG00000000537",12,44,28,31,12,23
"ENSG00000000538",0,1,1,2,0,0
"ENSG00000000539",0,1,0,0,1,0
"ENSG00000000540",1,1,0,0,1,1
"ENSG00000000541",6,8,4,3,4,4
"ENSG00000000542",0,0,0,1,1,0
"ENSG00000000543",12,20,13,8,6,26
"ENSG00000000544",0,0,0,1,0,1
"ENSG00000000545",33,103,76,50,41,78
"ENSG00000000546",1,3,0,1,0,0
"ENSG00000000547",22,50,77,44,51,32
"ENSG00000000548",0,0,1,2,3,2
"ENSG00000000549",1,17,4,5,3,3
"ENSG00000000550",141,142,137,65,65,130
"ENSG00000000551",1,3,2,1,0,1
"ENSG00000000552",166,92,174,121,78,50
"ENSG00000000553",4,24,7,17,12,18
"ENSG00000000554",1,0,0,0,1,0
"ENSG00000000555",0,1,1,2,0,0
"ENSG00000000556",0,0,0,2,0,0
"ENSG00000000557",6,27,10,8,18,10
"ENSG00000000558",6,1,0,1,0,3
"ENSG00000000559",0,0,0,0,1,1
"ENSG00000000560",1,2,3,0,0,1
"ENSG00000000561",0,1,0,1,0,2
"ENSG00000000562",0,0,0,0,1,0
"ENSG00000000563",110,153,84,183,70,137
"ENSG00000000564",50,58,55,92,71,37
"ENSG00000000565",165,406,244,498,271,218
"ENSG00000000566",241,265,136,174,282,173
"ENSG00000000567",210,419,282,151,102,253
"ENSG00000000568",0,0,0,1,1,0
"ENSG00000000569",0,0,0,0,0,0
"ENSG00000000570",1,0,0,0,1,0
"ENSG00000000571",8,25,4,9,5,17
"ENSG00000000572",6,0,18,7,5,11
"ENSG00000000573",0,0,0,0,1,0
"ENSG00000000574",9,19,23,41,19,8
"ENSG00000000575",23,19,16,21,6,35
"ENSG00000000576",0,0,0,0,0,0
"ENSG00000000577",1,1,0,2,2,0
"ENSG00000000578",15,31,12,27,8,19
"ENSG00000000579",15,12,31,31,3,15
"ENSG00000000580",274,233,513,201,268,116
"ENSG00000000581",57,56,80,35,44,29
"ENSG00000000582",234,171,292,242,116,121
"ENSG00000000583",2,2,4,0,0,7
"ENSG00000000584",2,1,4,2,2,0
"ENSG00000000585",0,0,0,2,2,0
"ENSG00000000586",0,1,0,0,2,2
"ENSG00000000587",1,1,0,2,2,0
"ENSG00000000588",74,111,4,93,31,41
"ENSG00000000589",0,0,0,0,0,0
"ENSG00000000590",1,0,1,0,0,0
"ENSG00000000591",1,0,3,0,0,0
"ENSG00000000592",0,1,1,1,0,0
"ENSG00000000593",0,0,0,0,1,1
"ENSG00000000594",0,2,0,0,1,0
"ENSG00000000595",9,42,22,15,5,17
"ENSG00000000596",0,0,0,0,0,0
"ENSG00000000597",9,6,5,4,2,9
"ENSG00000000598",10,7,5,5,7,7
"ENSG00000000599",68,152,74,55,174,55
"ENSG00000000600",0,0,0,1,0,0
"ENSG00000000601",0,0,0,0,0,0
"ENSG00000000602",6,11,14,8,17,14
"ENSG00000000603",1196,1031,767,1147,1742,1509
"ENSG00000000604",0,0,0,0,1,0
"ENSG00000000605",0,0,1,1,3,1
"ENSG00000000606",0,5,2,0,1,2
"ENSG00000000607",0,0,1,0,0,0
"ENSG00000000608",6,29,17,6,11,4
"ENSG00000000609",0,2,3,6,5,0
"ENSG00000000610",0,0,0,0,0,0
"ENSG00000000611",10,131,27,8,33,37
"ENSG00000000612",0,0,0,0,0,1
"ENSG00000000613",0,0,1,1,0,1
"ENSG00000000614",14,15,15,15,9,15
"ENSG00000000615",38,50,32,45,21,23
"ENSG00000000616",2,16,12,5,18,19
"ENSG00000000617",257,467,500,277,178,345
"ENSG00000000618",14,20,30,24,37,9
"ENSG00000000619",11,14,26,24,3,31
"ENSG00000000620",1,0,0,0,1,0
"ENSG00000000621",3,20,8,4,11,16
"ENSG00000000622",2,0,1,1,0,1
"ENSG00000000623",48,72,11,102,71,44
"ENSG00000000624",2,7,13,6,5,3
"ENSG00000000625",2,1,0,0,0,1
