"","data/Exp1_A_Sample_1","data/Exp1_A_Sample_2","data/Exp1_B_Sample_1","data/Exp1_B_Sample_2","data/Exp1_C_Sample_1","data/Exp1_C_Sample_2"
"ENSG00000000090",342,104,238,243,210,230
"ENSG00000000091",318,157,232,197,81,259
"ENSG00000000092",0,0,0,0,1,1
"ENSG00000000093",39,31,34,47,18,35
"ENSG00000000094",4,7,7,12,0,0
"ENSG00000000095",169,278,591,579,287,368
"ENSG00000000096",11,15,7,3,6,9
"ENSG00000000097",0,0,0,0,0,0
"ENSG00000000098",0,0,1,3,0,0
"ENSG00000000099",1,1,0,0,0,0
"ENSG00000000100",0,1,1,0,0,0
"ENSG00000000101",0,0,0,0,2,2
"ENSG00000000102",19,50,39,25,19,45
"ENSG00000000103",12,10,4,8,25,11
"ENSG00000000104",1,0,0,0,1,1
"ENSG00000000105",0,0,0,0,0,0
"ENSG00000000106",0,0,0,0,0,0
"ENSG00000000107",2,9,5,4,3,1
"ENSG00000000108",0,1,0,0,1,0
"ENSG00000000109",0,0,0,2,0,0
"ENSG00000000110",113,90,46,133,101,115
"ENSG00000000111",9,3,5,2,8,3
"ENSG00000000112",1,0,0,0,2,1
"ENSG00000000113",1,0,3,0,1,0
"ENSG00000000114",9,18,34,12,14,30
"ENSG00000000115",40,76,29,13,35,40
"ENSG00000000116",45,24,48,19,70,25
"ENSG00000000117",32,40,23,16,27,19
"ENSG00000000118",5,5,7,14,2,10
"ENSG00000000119",3,5,1,3,8,5
"ENSG00000000120",2,3,5,4,3,3
"ENSG00000000121",31,42,49,95,13,38
"ENSG00000000122",3,2,4,5,3,5
"ENSG00000000123",0,1,0,0,0,0
"ENSG00000000124",18,15,11,18,8,31
"ENSG00000000125",0,0,0,0,0,0
"ENSG00000000126",2,18,12,5,13,1
"ENSG00000000127",24,23,30,55,51,23
"ENSG00000000128",1,1,1,0,0,0
"ENSG00000000129",1,2,1,0,0,1
"ENSG00000000130",0,0,0,0,0,0
"ENSG00000000131",373,420,844,425,98,263
"ENSG00000000132",75,43,52,60,56,74
"ENSG00000000133",0,0,0,2,0,2
"ENSG00000000134",2,8,18,5,4,2
"ENSG00000000135",1,1,0,1,1,1
"ENSG00000000136",155,277,67,185,184,200
"ENSG00000000137",2,0,0,2,1,2
"ENSG00000000138",0,0,0,0,0,1
"ENSG00000000139",1126,2124,968,258,1167,708
"ENSG00000000140",0,1,2,1,2,3
"ENSG00000000141",76,174,31,76,98,55
"ENSG00000000142",0,1,1,0,0,0
"ENSG00000000143",1,0,2,1,0,0
"ENSG00000000144",0,1,2,0,0,0
"ENSG00000000145",0,1,1,1,1,0
"ENSG00000000146",4,7,7,2,6,17
"ENSG00000000147",0,4,4,2,2,0
"ENSG00000000148",1,0,0,0,1,0
"ENSG00000000149",2117,1732,1701,2255,1050,2244
"ENSG00000000150",0,1,2,1,1,2
"ENSG00000000151",81,113,42,129,102,99
"ENSG00000000152",1,0,1,0,0,0
"ENSG00000000153",26,18,25,55,46,38
"ENSG00000000154",0,0,0,1,0,0
"ENSG00000000155",14,15,10,12,22,9
"ENSG00000000156",0,0,0,1,1,1
"ENSG00000000157",69,62,70,86,46,48
"ENSG00000000158",8,12,11,9,13,10
"ENSG00000000159",1,0,0,0,1,1
"ENSG00000000160",5,5,6,11,7,7
"ENSG00000000161",253,102,122,115,147,108
"ENSG00000000162",0,0,0,0,0,0
"ENSG00000000163",0,1,2,2,0,1
"ENSG00000000164",18335,19176,4490,17416,17648,11952
"ENSG00000000165",12,5,9,2,8,0
"ENSG00000000166",0,0,0,0,0,0
"ENSG00000000167",86,85,59,58,58,48
"ENSG00000000168",10,8,6,11,6,5
"ENSG00000000169",105,34,61,78,31,54
"ENSG00000000170",53,22,63,27,26,55
"ENSG00000000171",0,0,0,0,0,0
"ENSG00000000172",41,21,18,30,18,9
"ENSG00000000173",29,14,21,16,19,19
"ENSG00000000174",2371,1698,739,587,1000,1785
"ENSG00000000175",0,0,0,0,0,0
"ENSG00000000176",1,0,0,1,0,2
"ENSG00000000177",0,0,0,0,1,0
"ENSG00000000178",18,16,58,27,44,17
"ENSG00000000179",52,26,75,20,36,37
"ENSG00000000180",6,6,7,11,4,15
"ENSG00000000181",5,0,3,1,3,0
"ENSG00000000182",255,365,397,281,283,304
"ENSG00000000183",13,11,13,16,7,13
"ENSG00000000184",4,2,1,7,0,3
"ENSG00000000185",14,12,16,14,3,10
"ENSG00000000186",9,17,23,21,11,3
"ENSG00000000187",200,314,158,86,48,327
"ENSG00000000188",28,30,40,32,21,20
"ENSG00000000189",117,73,38,120,173,121
"ENSG00000000190",0,1,1,0,2,0
"ENSG00000000191",32,20,32,15,9,22
"ENSG00000000192",6,20,12,4,7,34
"ENSG00000000193",23,23,34,15,29,11
"ENSG00000000194",0,1,0,1,1,2
"ENSG00000000195",3,3,1,3,2,1
"ENSG00000000196",875,2557,1070,1905,513,359
"ENSG00000000197",71,65,67,79,55,46
"ENSG00000000198",2,0,2,2,0,2
"ENSG00000000199",3,3,12,5,2,5
"ENSG00000000200",0,0,1,1,0,0
"ENSG00000000201",0,0,0,0,0,0
"ENSG00000000202",217,150,338,146,420,330
"ENSG00000000203",23,23,5,5,10,2
"ENSG00000000204",0,0,0,0,0,0
"ENSG00000000205",0,0,1,0,0,0
"ENSG00000000206",15,9,7,17,8,8
"ENSG00000000207",0,0,1,2,0,0
"ENSG00000000208",0,0,0,1,1,1
"ENSG00000000209",561,810,577,432,476,578
"ENSG00000000210",8,35,2,20,2,18
"ENSG00000000211",0,1,0,1,0,1
"ENSG00000000212",40,40,42,71,50,23
"ENSG00000000213",148,291,265,68,166,266
"ENSG00000000214",7,8,7,4,6,14
"ENSG00000000215",1,3,4,7,3,0
"ENSG00000000216",704,829,470,728,560,611
"ENSG00000000217",4,4,4,10,3,6
"ENSG00000000218",4,8,2,3,2,3
"ENSG00000000219",0,1,3,3,3,0
"ENSG00000000220",2,0,0,1,2,2
"ENSG00000000221",2,0,1,0,0,0
"ENSG00000000222",102,111,43,42,30,32
"ENSG00000000223",458,160,147,145,231,102
"ENSG00000000224",88,46,109,55,45,35
"ENSG00000000225",5,15,16,17,6,8
"ENSG00000000226",27,15,12,18,54,13
"ENSG00000000227",1,0,1,2,0,0
"ENSG00000000228",0,0,0,0,0,0
"ENSG00000000229",204,173,61,206,101,98
"ENSG00000000230",2,2,2,3,1,1
"ENSG00000000231",616,1360,382,2032,736,883
"ENSG00000000232",22,19,12,17,7,35
"ENSG00000000233",1,0,0,0,0,2
"ENSG00000000234",3,4,3,3,3,5
"ENSG00000000235",0,0,0,0,0,1
"ENSG00000000236",0,2,1,3,1,1
"ENSG00000000237",37,20,15,22,20,8
"ENSG00000000238",0,5,0,0,0,0
"ENSG00000000239",38,68,43,57,34,49
"ENSG00000000240",6,3,3,2,2,5
"ENSG00000000241",5,4,2,7,4,2
"ENSG00000000242",7,11,6,12,4,3
"ENSG00000000243",929,286,458,518,760,445
"ENSG00000000244",2,3,2,1,2,0
"ENSG00000000245",23,14,10,9,13,2
"ENSG00000000246",728,325,837,1396,994,1337
"ENSG00000000247",0,0,0,0,0,2
"ENSG00000000248",1,1,1,0,1,1
"ENSG00000000249",8,12,8,6,2,8
"ENSG00000000250",46,16,84,52,49,75
"ENSG00000000251",1,9,2,6,11,2
"ENSG00000000252",10,5,2,15,8,0
"ENSG00000000253",1,2,1,2,0,1
"ENSG00000000254",10,5,13,24,3,39
"ENSG00000000255",1,3,0,0,0,1
"ENSG00000000256",24,42,17,32,3,22
"ENSG00000000257",204,300,270,285,208,178
"ENSG00000000258",75,89,121,79,135,53
"ENSG00000000259",1,0,0,2,0,0
"ENSG00000000260",0,0,0,2,1,0
"ENSG00000000261",6,14,6,8,3,21
"ENSG00000000262",8,11,2,9,4,10
"ENSG00000000263",16,33,8,23,11,37
"ENSG00000000264",2,1,0,1,0,2
"ENSG00000000265",1727,1038,2228,3372,627,849
"ENSG00000000266",680,477,327,418,489,1423
"ENSG00000000267",17,5,18,26,5,15
"ENSG00000000268",0,2,2,0,0,0
"ENSG00000000269",12,6,5,9,7,12
"ENSG00000000270",48,19,18,31,14,10
"ENSG00000000271",0,2,0,0,0,0
"ENSG00000000272",0,0,0,1,0,1
"ENSG00000000273",102,60,23,60,35,55
"ENSG00000000274",0,0,0,2,0,1
"ENSG00000000275",0,0,0,0,0,1
"ENSG00000000276",11,12,17,6,3,10
"ENSG00000000277",13,14,29,23,37,19
"ENSG00000000278",17,17,13,36,18,11
"ENSG00000000279",2,0,1,1,0,0
"ENSG00000000280",22,32,34,24,6,21
"ENSG00000000281",1,1,0,0,1,0
"ENSG00000000282",4,1,0,0,2,0
"ENSG00000000283",48,38,53,36,41,31
"ENSG00000000284",14,22,9,14,7,17
"ENSG00000000285",1,0,0,2,1,0
"ENSG00000000286",0,1,0,2,0,0
"ENSG00000000287",34,32,20,41,16,36
"ENSG00000000288",0,0,0,2,0,1
"ENSG00000000289",7,29,6,12,9,19
"ENSG00000000290",0,0,0,0,0,0
"ENSG00000000291",155,197,370,332,184,448
"ENSG00000000292",266,160,105,368,215,47
"ENSG00000000293",203,270,180,185,122,156
"ENSG00000000294",1,0,3,0,1,1
"ENSG00000000295",1144,1047,1020,2029,1061,898
"ENSG00000000296",5,53,22,44,11,28
"ENSG00000000297",2,0,0,0,0,1
"ENSG00000000298",0,0,0,0,0,0
"ENSG00000000299",64,35,16,35,16,14
"ENSG00000000300",246,138,103,352,258,161
"ENSG00000000301",13,13,2,1,10,5
"ENSG00000000302",2,5,1,3,2,4
"ENSG00000000303",0,0,0,1,0,1
"ENSG00000000304",0,0,2,0,0,1
"ENSG00000000305",3,5,27,6,12,5
"ENSG00000000306",32,21,37,76,7,59
"ENSG00000000307",0,0,0,2,0,0
"ENSG00000000308",38,44,21,74,21,19
"ENSG00000000309",422,326,270,169,263,311
"ENSG00000000310",1290,3158,753,487,738,1700
"ENSG00000000311",271,160,209,391,147,194
"ENSG00000000312",83,106,234,114,81,109
"ENSG00000000313",0,1,0,0,3,1
"ENSG00000000314",10,4,1,10,2,4
"ENSG00000000315",26,25,6,6,4,14
"ENSG00000000316",71,94,61,40,88,59
"ENSG00000000317",23,10,12,7,6,16
"ENSG00000000318",5,2,4,2,0,2
"ENSG00000000319",622,417,591,172,130,472
"ENSG00000000320",62,56,208,74,34,70
"ENSG00000000321",1,0,1,0,1,1
"ENSG00000000322",0,1,0,1,1,1
"ENSG00000000323",0,0,0,0,2,4
"ENSG00000000324",35,94,50,113,31,98
"ENSG00000000325",4,5,3,4,7,6
"ENSG00000000326",90,76,121,67,57,69
"ENSG00000000327",18,5,33,22,14,7
"ENSG00000000328",97,169,63,35,40,93
"ENSG00000000329",91,618,360,453,506,390
"ENSG00000000330",2,0,0,1,0,0
"ENSG00000000331",101,99,174,214,135,87
"ENSG00000000332",6,2,0,2,0,0
"ENSG00000000333",5,0,5,9,4,3
"ENSG00000000334",102,553,308,443,200,200
"ENSG00000000335",62,43,51,43,35,10
"ENSG00000000336",1,0,0,0,1,0
"ENSG00000000337",1,2,2,1,0,1
"ENSG00000000338",21,21,21,13,5,11
"ENSG00000000339",0,0,1,0,0,0
"ENSG00000000340",9,5,16,17,28,11
"ENSG00000000341",52,51,92,69,43,50
"ENSG00000000342",71,119,61,269,42,180
"ENSG00000000343",0,0,1,1,0,0
"ENSG00000000344",0,1,0,1,0,1
"ENSG00000000345",15,26,24,44,14,35
"ENSG00000000346",1,0,0,2,1,0
"ENSG00000000347",1,3,0,1,1,0
"ENSG00000000348",0,2,0,2,0,1
"ENSG00000000349",1,1,1,1,0,0
"ENSG00000000350",1,1,1,0,1,0
"ENSG00000000351",0,0,2,0,0,1
"ENSG00000000352",1,1,0,0,1,1
"ENSG00000000353",7,4,11,2,11,5
"ENSG00000000354",20,18,23,27,9,43
"ENSG00000000355",1,5,4,7,4,8
"ENSG00000000356",22,56,21,35,42,47
"ENSG00000000357",1,0,0,1,0,2
"ENSG00000000358",23,51,17,28,13,23
"ENSG00000000359",0,0,0,1,0,0
"ENSG00000000360",5971,6377,1364,1851,2121,4110
"ENSG00000000361",0,1,2,2,1,0
"ENSG00000000362",29,171,166,115,40,89
"ENSG00000000363",1,1,0,2,0,0
"ENSG00000000364",85,352,337,184,91,147
"ENSG00000000365",90,97,119,66,47,131
"ENSG00000000366",14,20,1,15,6,4
"ENSG00000000367",25,22,32,31,28,64
"ENSG00000000368",2,1,1,3,0,1
"ENSG00000000369",69,122,169,70,84,33
"ENSG00000000370",13,3,8,14,7,6
"ENSG00000000371",0,0,0,0,0,1
"ENSG00000000372",1,1,0,0,0,0
"ENSG00000000373",7,7,19,15,4,9
"ENSG00000000374",75,225,230,161,55,101
"ENSG00000000375",0,0,0,0,0,0
"ENSG00000000376",2,5,1,2,4,5
"ENSG00000000377",0,1,0,1,1,1
"ENSG00000000378",0,2,0,1,0,0
"ENSG00000000379",5,15,27,17,15,18
"ENSG00000000380",0,1,1,0,0,1
"ENSG00000000381",29,12,26,35,9,14
"ENSG00000000382",29,25,32,47,27,32
"ENSG00000000383",1,0,0,1,0,1
"ENSG00000000384",12,2,3,1,9,4
"ENSG00000000385",39,107,53,75,35,125
"ENSG00000000386",187,358,284,375,115,362
"ENSG00000000387",0,1,1,0,0,0
"ENSG00000000388",1,0,1,1,6,1
"ENSG00000000389",6,3,15,4,14,6
"ENSG00000000390",47,26,34,26,60,25
"ENSG00000000391",0,0,0,0,0,1
"ENSG00000000392",0,1,0,1,0,1
"ENSG00000000393",160,103,99,40,105,61
"ENSG00000000394",6,3,5,2,2,4
"ENSG00000000395",0,1,1,1,0,1
"ENSG00000000396",327,223,298,516,278,347
"ENSG00000000397",1,2,1,0,1,1
"ENSG00000000398",237,144,77,86,162,175
"ENSG00000000399",0,1,0,0,0,1
"ENSG00000000400",5,21,18,12,8,7
"ENSG00000000401",0,0,1,1,0,1
"ENSG00000000402",3,0,1,1,5,4
"ENSG00000000403",5,25,5,0,4,5
"ENSG00000000404",19,22,19,13,16,18
"ENSG00000000405",31,124,93,43,130,96
"ENSG00000000406",1,1,0,0,0,2
"ENSG00000000407",0,0,1,1,0,0
"ENSG00000000408",126,58,58,98,99,188
"ENSG00000000409",4,6,10,4,3,6
"ENSG00000000410",72,75,27,8,28,19
"ENSG00000000411",0,0,0,0,0,0
"ENSG00000000412",1,0,0,0,0,0
"ENSG00000000413",0,0,2,1,0,1
"ENSG00000000414",27,21,14,4,15,17
"ENSG00000000415",11,12,2,7,4,1
"ENSG00000000416",0,0,0,0,0,0
"ENSG00000000417",36,14,4,22,13,27
"ENSG00000000418",82,63,53,42,24,21
"ENSG00000000419",117,85,73,57,25,34
"ENSG00000000420",1,9,11,3,0,3
"ENSG00000000421",751,1593,570,470,572,453
"ENSG00000000422",19,46,22,41,20,50
"ENSG00000000423",0,1,0,1,1,0
"ENSG00000000424",1,2,0,2,1,0
"ENSG00000000425",7,9,4,6,2,4
"ENSG00000000426",6,9,10,11,5,5
"ENSG00000000427",0,1,1,1,1,0
"ENSG00000000428",49,28,29,27,8,7
"ENSG00000000429",240,426,280,561,318,394
"ENSG00000000430",1,3,0,4,2,1
"ENSG00000000431",34,22,11,25,15,6
"ENSG00000000432",56,25,46,72,39,31
"ENSG00000000433",22,43,21,37,20,40
"ENSG00000000434",0,1,1,0,2,0
"ENSG00000000435",31,27,30,39,9,5
"ENSG00000000436",2,3,2,7,1,4
"ENSG00000000437",0,1,2,0,0,0
"ENSG00000000438",253,256,159,207,214,150
"ENSG00000000439",0,0,0,0,1,0
"ENSG00000000440",0,0,0,0,0,0
"ENSG00000000441",1,2,0,1,0,6
"ENSG00000000442",1,0,1,0,1,2
"ENSG00000000443",1,1,0,3,0,0
"ENSG00000000444",12,7,9,6,22,11
"ENSG00000000445",0,7,7,5,2,5
"ENSG00000000446",0,0,1,1,1,1
"ENSG00000000447",63,46,39,20,34,23
"ENSG00000000448",86,121,74,155,74,151
"ENSG00000000449",0,0,1,1,0,0
"ENSG00000000450",0,4,0,0,0,0
"ENSG00000000451",0,0,0,0,0,0
"ENSG00000000452",0,2,0,0,0,0
"ENSG00000000453",50,52,35,39,27,29
"ENSG00000000454",25,53,49,126,23,122
"ENSG00000000455",142,143,117,155,24,218
"ENSG00000000456",1,2,1,1,1,0
"ENSG00000000457",276,242,136,128,156,243
"ENSG00000000458",0,0,1,0,0,1
"ENSG00000000459",0,1,0,1,0,0
"ENSG00000000460",9,10,15,5,5,39
"ENSG00000000461",143,245,161,143,31,94
"ENSG00000000462",5,10,4,11,2,5
"ENSG00000000463",56,57,48,69,44,42
"ENSG00000000464",8,8,4,15,2,8
"ENSG00000000465",0,0,2,1,2,2
"ENSG00000000466",201,156,157,326,153,317
"ENSG00000000467",0,1,1,0,0,1
"ENSG00000000468",0,0,0,0,0,0
"ENSG00000000469",1,0,0,0,1,0
"ENSG00000000470",212,61,184,271,125,284
"ENSG00000000471",1340,1284,313,874,768,613
"ENSG00000000472",9,13,11,4,9,21
"ENSG00000000473",2,1,2,2,1,3
"ENSG00000000474",7,8,12,15,7,12
"ENSG00000000475",13,8,22,7,17,14
"ENSG00000000476",1,0,2,1,0,1
"ENSG00000000477",329,887,548,384,235,219
"ENSG00000000478",2,0,0,0,0,0
"ENSG00000000479",1,1,1,0,4,0
"ENSG00000000480",11,8,11,11,13,6
"ENSG00000000481",10,10,8,18,14,16
"ENSG00000000482",44,39,31,27,15,31
"ENSG00000000483",300,449,489,318,209,278
"ENSG00000000484",1,0,1,0,1,0
"ENSG00000000485",0,0,2,2,0,0
"ENSG00000000486",73,95,110,185,69,87
"ENSG00000000487",1,2,0,0,0,1
"ENSG00000000488",7,4,4,4,7,13
"ENSG00000000489",1034,962,133,607,353,668
"ENSG00000000490",8,14,12,11,10,5
"ENSG00000000491",0,2,1,1,0,0
"ENSG00000000492",321,315,111,367,393,231
"ENSG00000000493",272,229,217,305,173,251
"ENSG00000000494",3,6,1,0,2,3
"ENSG00000000495",1,1,2,3,2,1
"ENSG00000000496",1,7,1,1,1,1
"ENSG00000000497",24,40,8,22,29,27
"ENSG00000000498",0,0,0,0,0,1
"ENSG00000000499",11,55,123,44,60,45
"ENSG00000000500",29,51,31,49,66,45
"ENSG00000000501",0,1,0,1,0,0
"ENSG00000000502",0,1,0,1,2,0
"ENSG00000000503",234,195,67,170,71,196
"ENSG00000000504",106,217,60,210,42,217
"ENSG00000000505",1,2,0,1,1,0
"ENSG00000000506",1,1,0,1,0,0
"ENSG00000000507",1,0,1,0,0,0
"ENSG00000000508",0,0,2,0,0,0
"ENSG00000000509",0,0,1,1,1,1
"ENSG00000000510",21,14,17,3,20,20
"ENSG00000000511",0,0,0,0,0,0
"ENSG00000000512",0,1,1,0,2,0
"ENSG00000000513",72,134,92,93,74,130
"ENSG00000000514",28,26,25,43,72,42
"ENSG00000000515",0,0,1,0,0,0
"ENSG00000000516",3,9,6,4,9,3
"ENSG00000000517",22,14,4,19,11,8
"ENSG00000000518",51,41,33,19,27,68
"ENSG00000000519",0,3,1,1,2,2
"ENSG00000000520",15,15,16,23,10,24
"ENSG00000000521",306,205,99,175,117,164
"ENSG00000000522",0,0,0,0,0,0
"ENSG00000000523",0,1,1,0,0,0
"ENSG00000000524",8,12,16,9,10,11
"ENSG00000000525",140,333,174,182,145,260
"ENSG00000000526",40,102,54,73,42,38
"ENSG00000000527",81,412,143,324,215,172
"ENSG00000000528",26,79,26,23,38,42
"ENSG00000000529",0,0,0,0,0,0
"ENSG00000000530",0,0,0,0,0,0
"ENSG00000000531",37,81,65,83,46,47
"ENSG00000000532",5,7,9,5,3,4
"ENSG00000000533",0,0,1,0,0,2
"ENSG00000000534",1,0,0,1,2,2
"ENSG00000000535",1222,901,1073,489,961,922
"ENSG00000000536",70,98,135,109,49,117
"ENSG00000000537",216,268,428,143,142,120
"ENSG00000000538",0,1,0,1,1,1
"ENSG00000000539",1,0,0,0,1,0
"ENSG00000000540",5,17,11,7,5,14
"ENSG00000000541",15,14,15,18,8,10
"ENSG00000000542",17,6,1,6,6,10
"ENSG00000000543",25,110,102,67,31,37
"ENSG00000000544",1,1,1,2,0,3
"ENSG00000000545",75,92,119,108,115,98
"ENSG00000000546",0,0,0,0,0,0
"ENSG00000000547",0,1,0,0,0,2
"ENSG00000000548",0,0,1,0,1,0
"ENSG00000000549",2275,6487,2082,2119,4034,4191
"ENSG00000000550",0,2,2,0,0,0
"ENSG00000000551",87,89,117,117,70,51
"ENSG00000000552",0,0,0,0,0,0
"ENSG00000000553",0,0,0,0,0,2
"ENSG00000000554",33,51,46,18,26,17
"ENSG00000000555",147,677,395,371,171,653
"ENSG00000000556",1,0,3,0,1,2
"ENSG00000000557",2,0,1,0,1,0
"ENSG00000000558",15,5,1,2,5,3
"ENSG00000000559",12,28,40,21,4,18
"ENSG00000000560",1,7,3,3,8,5
"ENSG00000000561",3,4,12,4,0,1
"ENSG00000000562",54,55,54,55,40,46
"ENSG00000000563",2,2,3,0,2,0
"ENSG00000000564",0,1,0,0,0,2
"ENSG00000000565",1,3,2,1,1,1
"ENSG00000000566",2,0,1,0,0,0
"ENSG00000000567",41,88,71,91,37,62
"ENSG00000000568",73,43,102,123,48,25
"ENSG00000000569",1,0,1,2,1,1
"ENSG00000000570",0,3,0,0,0,2
"ENSG00000000571",131,96,138,100,232,72
"ENSG00000000572",1,1,0,0,1,0
"ENSG00000000573",0,0,0,0,0,0
"ENSG00000000574",40,71,30,16,10,36
"ENSG00000000575",1,1,1,0,0,1
"ENSG00000000576",350,211,347,184,189,341
"ENSG00000000577",192,146,75,39,52,84
"ENSG00000000578",20,25,50,14,24,9
"ENSG00000000579",2,0,0,0,1,1
"ENSG00000000580",0,0,0,3,1,1
"ENSG00000000581",2,0,0,0,0,1
"ENSG00000000582",1,1,0,2,1,1
"ENSG00000000583",1,0,0,0,1,0
"ENSG00000000584",69,50,23,76,57,39
"ENSG00000000585",2,1,2,3,0,0
"ENSG00000000586",0,0,0,0,0,0
"ENSG00000000587",24,38,12,51,46,61
"ENSG00000000588",1,9,2,2,5,6
"ENSG00000000589",44,76,81,71,51,49
"ENSG00000000590",0,0,0,2,0,0
"ENSG00000000591",0,0,0,0,0,0
"ENSG00000000592",27,29,66,43,45,49
"ENSG00000000593",1,0,2,0,0,1
"ENSG00000000594",0,0,0,0,0,0
"ENSG00000000595",59,54,70,44,42,43
"ENSG00000000596",1,0,1,3,1,1
"ENSG00000000597",6,17,14,4,18,20
"ENSG00000000598",0,0,0,0,0,0
"ENSG00000000599",93,264,147,253,225,287
"ENSG00000000600",1143,887,948,746,493,439
"ENSG00000000601",129,207,148,375,53,202
"ENSG00000000602",6,33,14,34,16,12
"ENSG00000000603",49,4,14,22,9,7
"ENSG00000000604",0,0,1,0,2,0
"ENSG00000000605",83,162,99,182,83,51
"ENSG00000000606",20,13,30,19,16,17
"ENSG00000000607",1,0,0,0,2,0
"ENSG00000000608",0,3,3,2,2,0
"ENSG00000000609",8,7,8,5,14,16
"ENSG00000000610",7,5,5,5,1,0
"ENSG00000000611",22,9,2,23,14,3
"ENSG00000000612",3,2,4,1,0,2
"ENSG00000000613",904,823,318,536,366,781
"ENSG00000000614",7,22,6,43,17,32
"ENSG00000000615",226,397,108,187,61,211
"ENSG00000000616",0,0,0,0,0,0
"ENSG00000000617",1,0,0,1,0,0
"ENSG00000000618",5,7,3,5,2,3
"ENSG00000000619",0,3,2,1,1,1
"ENSG00000000620",1,2,0,0,0,0
"ENSG00000000621",2,1,2,1,1,1
"ENSG00000000622",29,59,20,36,33,33
"ENSG00000000623",113,88,72,108,117,44
"ENSG00000000624",0,0,0,0,0,0
"ENSG00000000625",2,5,4,3,3,7
